StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_23_TEXT,SI2,SI3,SI3_8_TEXT,SI4,SI4_10_TEXT,SI5_1,SI5_11,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_10_TEXT,SI6,SI7,SI7_5_TEXT,SI8,SI8_4_TEXT,SI9,SI9_5_TEXT,SI10,SI10_5_TEXT,SI11,SI12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select the role that best describes you. - Selected Choice,Please select the role that best describes you. - Other (Please Specify) - Text,Do you routinely provide dietary or nutritional guidance to patients as part of your practice?,In which clinical context(s) do you provide dietary or nutritional guidance to your patient population? - Selected Choice,In which clinical context(s) do you provide dietary or nutritional guidance to your patient population? - Other (Please Specify) - Text,"In your experience, which of the following barriers prevent your patient population from transitioning to more plant-forward eating? - Selected Choice","In your experience, which of the following barriers prevent your patient population from transitioning to more plant-forward eating? - Other (Please Specify) - Text","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Lack of cooking skills and/or knowledge","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Lack of tools, space, and/or equipment","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Affordability of healthy foods","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Concerns about protein adequacy","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Personal taste preferences","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Familial and/or household pushback","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Cultural relevance and/or appropriateness of recipes","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Time needed for meal preparation","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Limited access to fresh produce (i.e., food insecurity)","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Digestive side effects","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Other (Please Specify)","Please rank the barriers you selected in order from most burdensome (i.e., 1) to least burdensome. - Other (Please Specify) - Text",What concerns or myths do patients express when you recommend plant-forward eating?,Which topics would be most valuable in supporting patients with plant-forward eating at home? - Selected Choice,Which topics would be most valuable in supporting patients with plant-forward eating at home? - Other (Please Specify) - Text,What material formats do you suspect patients would find most engaging? - Selected Choice,What material formats do you suspect patients would find most engaging? - Other (Please Specify) - Text,How would you most prefer to disseminate materials to patients? - Selected Choice,How would you most prefer to disseminate materials to patients? - Other (Please Specify) - Text,"For your own professional development, which nutrition topics related to plant-forward eating are you interested in learning more about? - Selected Choice","For your own professional development, which nutrition topics related to plant-forward eating are you interested in learning more about? - Other (Please Specify) - Text","Where do you currently source nutrition materials for your patients (e.g., Center for Disease Control and Prevention, American Heart Association, materials developed within my own institution, etc.)?","Do you have any additional suggestions for making plant-based eating ""stick"" for patients after they leave the hospital?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_23_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_8_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_10_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_11""}","{""ImportId"":""QID14_x10_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_5_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}"
2026-01-30 16:04:50,2026-01-30 16:05:13,IP Address,*******,100,23,True,2026-01-30 16:05:13,R_3LFms5B88sbQXn4,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-30 16:07:46,2026-01-30 16:30:28,IP Address,*******,100,1362,True,2026-01-30 16:30:28,R_1BURR10q7Rtw4ay,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 10:41:23,2026-02-02 10:45:17,IP Address,*******,100,233,True,2026-02-02 10:45:17,R_1w1hZQH489DsdEZ,*******,*******,*******,*******,*******,*******,anonymous,EN,Physical Therapist,,Yes,Weight Management,,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Familial and/or household pushback,Time needed for meal preparation",,4,2,1,,,5,,3,,,,,Need for animal protein and not getting what you need from plants.,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Interactive Webpage,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines",,American heart association and aclm,
2026-02-02 12:27:14,2026-02-02 12:31:57,IP Address,*******,100,283,True,2026-02-02 12:31:58,R_7wBIz0SjUK0Iu6x,*******,*******,*******,*******,*******,*******,anonymous,EN,Healthcare Administrator,,No,,,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,3,,1,,5,6,,4,2,,,,Flavorless; not filling; taking away joy,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,Other (Please Specify),"some kind of interactive video and meal/shopping planner; repository of SHORT videos for tips on how to cut, prep, cook different things",Patient Portal Links,,Sustainability Implications of Plant-Forward Eating,,,send them home with medically tailored plant based meals to try and include easy recipes for the meals they can try to replicate on their own
2026-02-02 12:31:05,2026-02-02 12:36:19,IP Address,*******,100,313,True,2026-02-02 12:36:19,R_1zZPK4uAMjTYeit,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention,Other (Please Specify)",MSK,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Other (Please Specify)",too many ingredients,4,,,1,2,5,6,3,,,7,,"Protein inadequacy, fear of carbs, too many ingredients, too much time to cook","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Interactive Webpage,,Patient Portal Links,,Other (Please Specify),"ckd, ibs, ibd, bone health","ACLM, material developed I developed",
2026-02-02 12:36:30,2026-02-02 12:43:33,IP Address,*******,100,423,True,2026-02-02 12:43:33,R_7KGSy3VAAPuCpM9,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation",,3,,4,5,,2,6,1,,,,,"food won't be accepted by kids/spouse, food won't taste as good","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,Other (Please Specify),"in-person interaction ",Other (Please Specify),"I usually work with older patients and paper handouts work best.  They like to take notes on them, as well","Nutritional Efficacy for Specific Medical Conditions,Other (Please Specify)",comparing efficacy of diet to pharmaceuticals to provide patients with most UTD information,I create them myself based on the literature,Having a coach or 'buddy' to give them a call would be fabulous
2026-02-02 12:46:40,2026-02-02 12:52:04,IP Address,*******,100,324,True,2026-02-02 12:52:04,R_5tVzKfJfPHbxBLj,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Weight Management,General Wellness/Prevention,Other (Please Specify)",Midlife and the Menopause Transition,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Familial and/or household pushback,Time needed for meal preparation",,2,,3,4,,5,,1,,,,,"Difficult to meet recommended protein needs while still coming in calorie neutral or deficit, too timely and expensive to prepare meals, not filling, pushback from family who enjoy meat.","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Video,,Email,,Behavior-Change Strategies,,"ACLM, our team develops materials","Provide food boxes for the first two or so weeks. "
2026-02-02 12:28:27,2026-02-02 12:52:19,IP Address,*******,100,1432,True,2026-02-02 12:52:20,R_52mMxCg1Kau3ge7,*******,*******,*******,*******,*******,*******,anonymous,EN,Nurse,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management",,"Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Other (Please Specify)",Desire ideas,,,3,,2,5,1,,,,4,Ideas on what to prepare/Patients tend to ask for lists,"Does not taste good, need meat/protein, need to feel fuller.
","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Printed Handouts,,Nutritional Efficacy for Specific Medical Conditions,,ACLM and Materials developed within my own institution,"Focusing on the importance and benefits of any changes they can make being plant forward. Encouraging changes in household as a whole and not just limited to the patient. "
2026-02-02 12:48:16,2026-02-02 12:53:44,IP Address,*******,100,327,True,2026-02-02 12:53:44,R_64dVY4GpYp6sGkN,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Digestive Health,Rheumatology,General Wellness/Prevention",,"Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity)",,,,4,6,1,2,3,,5,,,,They don't think they can give up the meat and dairy they are used to eating. They don't know how to cook vegetables or think they will like them. We don't have any culturally appropriate WFPB hand-outs for our Hispanic population.,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Video,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"ACLM, VHA, CDC","If they are leaving the hospital, just reinforcing how plant-based eating can help keep them well and out of the hospital again."
